Mediat,Teema,Kysymys,Editorin kuittaus,Sariannan kuittaus
IL,Aluevaalit,Hyvinvointialueiden kannattaa ostaa nykyistä enemmän palveluita yksityisiltä yrityksiltä.,,
IL,Aluevaalit,Hallitus tekee oikein supistaessaan sairaalaverkkoa esimerkiksi päivystyksiä lakkauttamalla.,,
IL,Aluevaalit,"Vanhusten ympärivuorokautinen hoiva on väärä paikka leikata, ja säästöt tulisi etsiä jostain muualta.",,
IL,Aluevaalit,Sosiaali- ja terveysalan henkilöstöpulaa täytyy helpottaa palkkaamalla työntekijöitä ulkomailta.,,
IL,Aluevaalit,Hyvinvointialueille pitää antaa verotusoikeus.,,
"HS, AL, SK",Arvot,"Jos on pakko valita, on parempi korottaa veroja kuin leikata julkisia palveluita ja sosiaalietuuksia.",,
"HS, AL, SK",Arvot,"Suuret tuloerot ovat hyväksyttäviä, jotta erot ihmisten lahjakkuudessa ja ahkeruudessa voidaan palkita.",,
"HS, AL, SK",Arvot,"Valtion pitäisi puuttua nykyistä voimakkaammin markkinoiden toimintaan, jotta talous olisi kaikille reilu.",,
"HS, AL, SK",Arvot,Suomessa on liian helppo elää sosiaaliturvan varassa.,,
"HS, AL, SK",Arvot,Valtion ja kuntien omistusta yritystoiminnassa tulisi vähentää.,,
"HS, AL, SK",Arvot,Suomen muuttuminen aiempaa monikulttuurisemmaksi ja monimuotoisemmaksi on hyvä asia.,,
"HS, AL, SK",Arvot,Kristilliset arvot ovat hyvä pohja poliittiselle päätöksenteolle.,,
"HS, AL, SK",Arvot,Sukupuolen moninaisuus pitäisi ottaa huomioon Suomessa nykyistä paremmin.,,
"HS, AL, SK",Arvot,"Tottelevaisuus ja auktoriteettien kunnioittaminen ovat tärkeimmät arvot, jotka lapsen tulee oppia.",,
"HS, AL, SK",Arvot,Suomen pitäisi vähentää omia päästöjään riippumatta siitä mitä muut maat tekevät.,,
"HS, AL, SK",Arvot,Poliitikkojen on asetettava Suomen ja suomalaisten etu kaiken muun edelle.,,
"HS, AL, SK",Arvot,"Ympäristön etu tulisi asettaa talouskasvun ja työpaikkojen luomisen edelle, jos ne ovat keskenään ristiriidassa.",,
"HS, AL, SK",Arvot,"Vahva johtaja on Suomelle hyväksi, vaikka hän toimisi sääntöjen rajamailla saadakseen asioita tehtyä.",,
"HS, AL, SK",Arvot,"Koko Suomi tulee pitää asutettuna, vaikka siitä koituisi kustannuksia.",,
"HS, AL, SK",Arvot,Suomen kaupungistuminen on hyvä asia.,,
IL,Arvot,"Ei haittaa, että jotkut ryhmät ovat yhteiskunnassa paremmassa taloudellisessa asemassa kuin toiset.",,
IL,Arvot,"Jos rahat meinaavat loppua, mieluummin nostetaan veroja kuin karsitaan palveluita.",,
IL,Arvot,Sukupuolia on enemmän kuin kaksi.,,
IL,Arvot,Kristillisen kulttuuriperintömme pitää näkyä kouluissa nykyistä enemmän.,,
IL,Arvot,"Keskustelu siitä, että tyttöjä ei saa kutsua tytöiksi ja poikia pojiksi, vain sekoittaa lasten päät.",,
IL,Arvot,Suomessa on liian helppo elää sosiaaliturvalla.,,
IL,Arvot,"Suomen puolustukseen on laitettava lisää rahaa, vaikka se tapahtuisi muiden palveluiden",,
IL,Arvot,kustannuksella.,,
IL,Arvot,"Ilmastotavoitteita voidaan sivuuttaa, jos sillä saadaan bensan hintaa alas.",,
IL,Arvot,"On oikein, että kansalaiset ovat itse aiempaa enemmän vastuussa julkisten palveluidensa",,
IL,Arvot,maksamisesta ja läheistensä hoivasta.,,
IL,Arvot,Mitään ei saa enää sanoa.,,
IS,Asuminen,Kotikuntani tulee paikata kassaansa kiinteistöveroluokkien nostolla.,,
IS,Asuminen,Vanhojen asuntojen purkamisesta pitää maksaa romutuspalkkio.,,
IS,Asuminen,Paras keino estää slummiutumista on kaavoittaa samalle alueelle omistus- ja vuokra-asuntoja.,,
"HS, AL, SK",Kasvatus ja koulutus,Kännykät pitäisi kieltää kouluissa myös välitunneilla.,,
"HS, AL, SK",Kasvatus ja koulutus,Varhaiskasvatuksen työntekijöitä pitää houkutella kuntaani palkankorotuksilla.,,
"HS, AL, SK",Kasvatus ja koulutus,"Erityisopettajia ja koulunkäyntiavustajia pitää palkata kouluihin lisää, vaikka se tarkoittaisi kuntaveron korotusta.",,
IS,Koulut,Koulujen inkluusio on mennyt liian pitkälle. Erityisoppilaita pitäisi opettaa nykyistä enemmän erityisluokilla.,,
IS,Koulut,Kotikuntani pitää käyttää nykyistä enemmän rahaa kouluruokaan.,,
IS,Koulut,Koulunuorisotyötä pitää lisätä kiusaamisen vähentämiseksi.,,
IS,Koulut,Afrikan tähti -peli kuuluu päiväkoteihin ja esikouluihin.,,
IS,Koulut,"Painotettua opetusta pitää vähentää, jotta koulushoppailu ja koulujen eriytyminen saadaan kuriin.",,
IS,Koulut,Kouluissa ja päiväkodeissa pitää tarjota vähemmän liharuokaa.,,
"HS, AL",Kulttuuri,"Jos kunnan taloustilanne on heikko, teattereiden ja orkestereiden tuesta voi karsia.",,
"HS, AL, SK",Kulttuuri,"Lähikirjastojen rahoitus on pidettävä nykytasolla, vaikka kunnassani etsittäisiin säästökohteita",,
IL,Kuntavaalit,Kunnan järjestämissä ruokailuissa pitää vähentää lihan kulutusta.,,
IL,Kuntavaalit,Väkivaltaa kouluissa ehkäistään parhaiten lisäämällä kuria ja järjestystä.,,
IL,Kuntavaalit,Kuntaani saa rakentaa pienydinvoimalan.,,
IL,Kuntavaalit,Kuntaani voi ottaa lisää pakolaisia ja turvapaikanhakijoita.,,
IL,Kuntavaalit,"Kulttuurista leikkaaminen on hyväksyttävää, koska on välttämättömämpiäkin rahoituskohteita.",,
IS,Liikenne,"Valtion pitää tukea yksityisautoilua harvaan asutuilla alueilla, joilla julkinen liikenne ei toimi.",,
IS,Liikenne,Polttomoottoriautojen käyttöä kaupunkien keskustoissa pitää rajoittaa.,,
IS,Liikenne,Ilmastotoimet eivät saa johtaa autoilun hinnan nousuun.,,
IS,Liikenne,Kotikunnassani pitää kieltää nastarenkaiden käyttö.,,
IS,Maahanmuutto,Kotikuntani pitää houkutella maahanmuuttajia aktiivisesti.,,
IS,Maahanmuutto,Maahanmuuttajien kotouttaminen on epäonnistunut kotikunnassani.,,
IS,Maahanmuutto,Englannin kielen käyttöä kuntapalveluissa ja kouluissa on lisättävä.,,
"HS, AL, SK",Talous,"Kuntani veroprosentin on pysyttävä ennallaan, vaikka olisi paineita menojen kasvattamiseksi.",,
"HS, AL, SK",Talous,"Kuntaani pitää houkutella vihreän siirtymän investointeja, kuten tuulivoimaa, aurinkovoimaa tai vähäpäästöisiä tehtaita.",,
IS,Talous,"Kotikuntani pitää maksaa syntyneestä lapsesta kertaluonteinen vauvaraha, jotta kuntaan saadaan lisää lapsiperheitä.",,
IS,Talous,Työvoimapalveluiden siirto TE-keskuksilta kunnille parantaa kotikuntani elinvoimaa.,,
IS,Talous,Itä-Suomea pitää tukea muiden alueiden kustannuksella Venäjän hyökkäyssodan seurausten vuoksi.,,
IS,Talous,Kuntien tuulivoimasta saamat kiinteistöverotuotot pitää tasata muiden kuntien kesken.,,
IS,Talous,Kotikunnassani on leikattava ennemmin menoja kuin kiristettävä veroja talouden vakauttamiseksi.,,
IS,Talous,"Uskon, että kuntani on elinkelpoinen itsenäisenä jatkossakin.",,
"HS, AL",Väestö ja asuminen,"Kunnassani pitää toimia niin, että asuinalueet eivät eriydy liikaa toisistaan asukkaiden varallisuuden tai etnisen taustan mukaan.",,
"HS, AL",Väestö ja asuminen,"Rakentaminen on sallittava luontoalueille, jotta asuntojen hinnat pysyvät kohtuullisina.",,
"HS, AL, SK",Väestö ja asuminen,Kuntani on pyrittävä saamaan muuttovoittoa ulkomailta väestön vähenemisen estämiseksi.,,
IS,Ympäristö,Ympäristö pitää asettaa kotikunnassani talouskasvun ja työpaikkojen edelle.,,
IS,Ympäristö,"Kuntaani ei pidä rakentaa tuulivoimaa, sillä se rasittaa luontoa ja tuhoaa mökkimaiseman.",,
IS,Ympäristö,"Susien kaatoluvista pitäisi päättää kunnissa ja kantaa harventaa alueilla, joilla sudet liikkuvat asutuksen lähellä.",,